id	active	category	question	optionA	optionB	optionC	optionD	correctAnswer	learn	whyMatters	deepDive	imageRef	notes
1	YES	Fungi	SCENARIO: Mature beech, 18m height, DBH 72cm, located in municipal park. Grey hoof-shaped perennial brackets visible at 1.2m height on north aspect of stem. Resistograph testing at bracket location shows 8cm shell thickness with radius measured at 36cm. Crown density assessed at 65% with minor dieback evident in upper crown. Tree overhangs children's play area with constant use 9am-5pm daily weekdays and weekends. Recent storms with 60mph winds caused no visible damage to tree or surrounding trees. What is the MOST appropriate management recommendation?	Install immediate exclusion barrier and commission emergency removal within 7 days	Remove tree during next scheduled maintenance window within 6 months with area closure	Reduce crown by 30% to decrease loading and monitor quarterly with continued use	Accept current risk level and continue annual monitoring as tree shows no recent deterioration	0	Grey hoof-shaped perennial bracket on beech indicates Fomes fomentarius causing white rot. Shell thickness ratio t/R = 8/36 = 0.22 is critically below safe threshold of 0.30	High-consequence target (children's playground with constant occupancy) combined with inadequate shell thickness creates unacceptable risk that requires immediate intervention regardless of recent performance	FUNGUS IDENTIFICATION:<br>Grey hoof-shaped perennial bracket on beech equals Fomes fomentarius. This fungus causes progressive white rot of stem, reducing structural integrity over years to decades.<br><br>STRUCTURAL CALCULATION:<br>Shell thickness (t) = 8cm<br>Radius (R) = 36cm<br>t/R ratio = 8 ÷ 36 = 0.22<br><br>Critical threshold: 0.30 minimum required<br>This tree at 0.22 is significantly below safe threshold.<br><br>RISK ASSESSMENT:<br>LIKELIHOOD: High (inadequate shell thickness, progressive decay)<br>CONSEQUENCE: Extreme (children constantly present, potential serious injury/death)<br>OVERALL RISK: Extreme (high × extreme = unacceptable)<br><br>DECISION RATIONALE:<br>Despite no recent storm damage, the combination of inadequate structural capacity and extreme consequence targets means failure could occur at any time. Crown reduction would not address fundamental shell inadequacy. Six-month delay unacceptable given extreme consequences. Immediate barriers protect public while removal organized.		Integrates: Fomes fomentarius ID (L1-Q142), t/R calculations (L1-Q21), risk matrix (L1-Q38,Q44,Q49)
2	YES	Fungi	SCENARIO: Oak, 25m height, DBH 95cm, located near car park. Six brackets visible at various heights: 2× Ganoderma brackets at base (30cm diameter), 1× Inonotus dryadeus at root collar showing amber droplets, 3× small brackets at 8m height on main stem. Root plate excavation reveals 40% of structural roots with soft fibrous white rot decay. No soil cracks visible around base. Crown assessed at 80% density with healthy vigorous appearance. Tree 12m from car park edge, vehicles park beneath crown daily. What is the PRIMARY risk concern and appropriate timeframe for action?	Stem decay at 8m height requires crown reduction within 3 months to reduce leverage	Root and butt decay indicates windthrow risk requiring removal within 4 weeks	Multiple fungi indicate systemic infection requiring immediate emergency felling	Crown appears healthy therefore tree is stable and can be monitored annually	1	Inonotus dryadeus at root collar combined with 40% structural root decay indicates serious anchorage compromise. Root decay creates windthrow risk before crown symptoms appear	Root plate failure is the primary concern when decay affects anchorage system. Healthy crown appearance is misleading - roots fail before vascular function compromised. Prompt action required given target exposure	FUNGUS IDENTIFICATION:<br>• Ganoderma at base: Root and butt rot (white rot)<br>• Inonotus dryadeus: Root collar decay (amber droplets diagnostic)<br>• Small brackets at height: Secondary concern compared to root issues<br><br>PRIMARY RISK ANALYSIS:<br>ROOT DECAY: 40% of structural roots affected = major anchorage loss<br>FAILURE MODE: Windthrow most likely (roots compromised, stem may be sound)<br>CROWN CONDITION: Misleading indicator - healthy crown does NOT mean stable roots<br><br>WHY CROWN LOOKS HEALTHY:<br>Remaining 60% of roots still transport water/nutrients adequately. Vascular function maintained while structural anchorage failing. Crown decline appears AFTER roots already critically compromised.<br><br>TIMEFRAME JUSTIFICATION:<br>No soil cracks YET, but 40% root loss is critical threshold. Next significant wind event could cause failure. 4 weeks allows organized removal while recognizing urgency. Not imminent (hours/days) but cannot wait months.<br><br>TARGET ASSESSMENT:<br>Car park = high consequence (occupied vehicles, people accessing cars daily). Windthrow could cause serious injury and property damage.		Integrates: Inonotus dryadeus (L1-Q138), Ganoderma root rot (L1-Q5), root decay vs crown condition (L1-Q169), risk timeframes (L1-Q46)
3	YES	Fungi	SCENARIO: Sweet chestnut veteran, 20m height, DBH 110cm, located in estate grounds. Extensive basal cavity present with opening measuring 80cm × 60cm. Interior wood is hard, dark, and well-compartmentalized with well-callused edges around opening. Three fresh Fistulina hepatica brackets (beefsteak fungus) appeared this autumn at cavity margins, actively bleeding red juice when touched. Shell thickness measurements: North 18cm, East 22cm, South 15cm, West 20cm. Tree has long-established lean of 8° to south with visible buttressing on tension side. Located in low-use area of estate grounds, nearest path 40m away. Calculate structural adequacy and determine appropriate management.	Shell thickness critically inadequate requiring immediate removal regardless of veteran status	Adequate shell thickness on three sides, reduce crown on south side and monitor	Veteran tree with adapted lean and adequate overall shell - retain with annual monitoring	Install ground anchors and cable system to stabilize lean and prevent progression	2	Thinnest shell (south side 15cm, radius ~55cm) gives t/R = 15/55 = 0.27. While below ideal 0.30, veteran tree with adapted lean, buttressing, low targets, and compartmentalized decay is acceptable risk	Veteran trees merit higher risk tolerance when targets allow. Adapted lean with buttressing shows successful long-term stability. Fistulina causes brown rot but cavity well-compartmentalized. Balance ecology and heritage against marginal structural adequacy	STRUCTURAL CALCULATIONS:<br>Assume DBH 110cm means radius approximately 55cm at cavity height<br><br>Shell thickness ratios (t/R):<br>• North: 18/55 = 0.33 ✓ (adequate)<br>• East: 22/55 = 0.40 ✓ (good)<br>• South: 15/55 = 0.27 ✗ (marginal)<br>• West: 20/55 = 0.36 ✓ (adequate)<br><br>CRITICAL ASSESSMENT:<br>South side at 0.27 is below ideal 0.30 threshold BUT context matters:<br><br>POSITIVE FACTORS:<br>• Long-established 8° lean (not recent) with visible buttressing = adapted<br>• Cavity edges well-callused = successful compartmentalization<br>• Hard dark interior = inactive decay, not progressing<br>• Three of four aspects have adequate shell<br>• Low consequence targets (40m to nearest path)<br><br>FISTULINA HEPATICA:<br>Fresh brackets indicate active colonization BUT Fistulina causes slow brown rot. Fresh fruiting doesn't mean rapid structural decline imminent. Species relatively slow-acting compared to Armillaria or Kretzschmaria.<br><br>VETERAN TREE CONSIDERATIONS:<br>Sweet chestnut veteran has high ecological and heritage value. Risk tolerance appropriately higher when consequences are low. Tree showing successful adaptation (buttressing, callus, stable lean).<br><br>DECISION RATIONALE:<br>Marginal shell thickness (0.27) would normally require intervention, but veteran status + low targets + evidence of adaptation + compartmentalized decay = acceptable risk with monitoring. Annual inspections to check for lean progression, crack development, or shell thinning.		Integrates: t/R calculations (L1-Q21,Q96), Fistulina identification (L1-Q156), veteran tree principles (L1-Q70,Q94), adaptive lean (L1-Q63)
4	YES	Fungi	SCENARIO: Pollarded willow beside public footpath, bolling height 2.5m, diameter 85cm. Twelve poles average 4m length regrown from last cutting 8 years ago. Five Phellinus igniarius brackets (grey-black, hoof-shaped, 15-25cm) present on bolling. Cavity probe shows hollow center with shell thickness varying 8-12cm. Poles show healthy vigorous growth with no decay. Tree beside public footpath with moderate pedestrian use, 15m from nearest residential property. Historical photos from 10 years ago show similar condition with brackets already present. Local community values tree as landmark. What factors determine whether this veteran pollard should be retained or removed?	Hollow center with thin shell requires immediate removal regardless of other factors	Phellinus indicates active decay requiring removal within 6 months before progression	Veteran pollard with stable long-term decay, adequate shell, and low targets - retain with phased pole reduction	Remove bolling, replant new willow, and re-establish pollard cycle for long-term sustainability	2	Shell thickness 8-12cm on bolling radius ~42cm gives t/R = 0.19-0.29. Below ideal but veteran pollards often survive decades with marginal ratios. Phellinus slow-progressing, condition stable for 10+ years, targets moderate	Veteran pollards have cultural and ecological value. Balance structural risk against heritage. Phased reduction of heavy poles reduces loading on marginal shell while retaining veteran. Management preserves tree while addressing structural concerns	STRUCTURAL ASSESSMENT:<br>Bolling diameter 85cm = radius ~42cm<br>Shell thickness 8-12cm variable<br>t/R ratios = 8/42 to 12/42 = 0.19 to 0.29<br><br>Thinnest at 0.19 is concerning, thickest at 0.29 nearly adequate. Variable shell means bolling has weak zones.<br><br>DECAY ASSESSMENT:<br>Phellinus igniarius on willow = white rot, slow progression. Historical photos show brackets present 10+ years ago = decay long-established but NOT rapidly progressing. Tree has survived with this decay for over a decade.<br><br>LOADING ANALYSIS:<br>12 poles × 4m length × estimated 15-20kg per pole = significant weight (180-240kg total) on hollow bolling. Heavy regrowth creates bending moment. Reducing pole number and length decreases loading on marginal shell.<br><br>VETERAN POLLARD VALUE:<br>• Cultural heritage: Traditional pollard management, local landmark<br>• Ecological: Hollow bollings = rare saproxylic habitat (beetles, bats)<br>• Historical continuity: Tree likely 100+ years old<br><br>RISK vs VALUE:<br>Footpath = moderate consequence (pedestrian injury possible but not constant high occupancy like playground). 15m from property = windthrow unlikely to reach building. Marginal risk acceptable given veteran status.<br><br>MANAGEMENT APPROACH:<br>Phased pole reduction over 2-3 years:<br>• Remove 4 poles first year<br>• Remove 4 poles second year<br>• Retain 4 poles permanently (reduced length)<br>Gradual reduction avoids shock to ancient tree, reduces loading incrementally, maintains some canopy for tree health.		Integrates: Phellinus on willow (L1-Q140,Q181), pollard management (L1-Q76,Q81), veteran tree values (L1-Q70,Q94), t/R with context (L1-Q21,Q96)
5	YES	Fungi	SCENARIO: Ash tree, 15m height, DBH 45cm, showing ash dieback symptoms (50% crown dieback, diamond-shaped lesions on stem bark). Kretzschmaria deusta present at base with grey powdery patches developing into black crusty stromata covering lower 1.5m of stem. Resistograph testing shows brittle ceramic-like decay extending through lower 2m of stem. Tree located 6m from main road, overhangs pavement with moderate pedestrian traffic. Owner requests retention for screening purposes and notes tree provides nesting birds habitat. What is the MOST significant risk factor and appropriate response?	Ash dieback is primary concern - crown reduction will extend tree life while maintaining screening	Kretzschmaria causing brittle basal decay is most critical - creates imminent snap failure risk requiring urgent removal	Combined diseases indicate terminal decline - monitor quarterly and remove when crown reaches 70% dieback	Install prop to support stem at 2m height, allowing retention for screening while managing brittleness	1	Kretzschmaria deusta causes uniquely brittle ceramic-like decay with minimal warning before catastrophic failure. Combined with ash dieback stress, tree has both reduced structural capacity and increased loading vulnerability. Basal brittleness is most critical factor	Ash dieback affects many trees, but Kretzschmaria brittleness is specifically dangerous. Sudden snap failure mode means no warning. Moderate pedestrian target plus road traffic creates unacceptable risk. Screening and habitat value cannot override safety with brittle basal decay	DISEASE INTERACTION:<br>ASH DIEBACK (Hymenoscyphus fraxineus):<br>• 50% crown dieback = advanced stage<br>• Diamond lesions = vascular blockage<br>• Tree stressed, declining, vulnerable to secondary pathogens<br><br>KRETZSCHMARIA DEUSTA:<br>• Grey→black progression = active colonization<br>• Soft rot causing BRITTLE CERAMIC fracture<br>• Most dangerous decay fungus - sudden failure<br>• Minimal external symptoms until very late<br>• Lower 2m affected = basal snap zone<br><br>WHY KRETZSCHMARIA IS MOST CRITICAL:<br>Ash dieback alone: Tree declines over years, crown reduces, may survive decade+ in diminished state. Manageable risk if monitored.<br><br>Kretzschmaria alone: Even healthy-crowned tree with this decay is extreme risk due to brittleness.<br><br>COMBINED: Ash dieback stress + Kretzschmaria brittleness = worst case scenario. Stressed tree cannot compartmentalize, decay progresses faster, brittleness creates unpredictable failure.<br><br>FAILURE MODE:<br>Basal snap without warning. Brittle fracture means stem snaps suddenly like breaking pottery. No progressive cracking or leaning warning. Entire crown (even 50% dieback crown weighs several tonnes) falls onto pavement/road.<br><br>TARGET ASSESSMENT:<br>6m from main road = fall zone includes road and pavement. Moderate pedestrian traffic + vehicle traffic = high consequence if failure occurs. Timing unpredictable with Kretzschmaria.<br><br>SCREENING VALUE vs SAFETY:<br>Owner's desire for screening does not override pedestrian/traffic safety. Nesting birds can be accommodated by timing removal outside breeding season (remove October-February), but removal is necessary.		Integrates: Ash dieback (L1-Q99), Kretzschmaria deusta (L1-Q6,Q153), brittle failure (L1-Q13), combined stressors, risk assessment
6	YES	Fungi	SCENARIO: Horse chestnut, 22m height, DBH 78cm, located in school grounds. Bleeding canker lesions with tarry exudate and distinctive alcohol smell cover 60% of trunk circumference at 1-3m height. Crown thinning to 40% density with small leaves and premature autumn color evident. Extensive Cameraria leaf miner damage visible. Tree 12m from school building, moderate use area (not playground but students pass during breaks). Previous inspection 18 months ago noted canker extent at 30% circumference. Assess progression rate and determine management priority.	Rapid progression (30% to 60% in 18 months) indicates terminal decline - remove during next school holiday	Moderate progression but tree not yet girdled - monitor every 6 months and remove when 80% girdled	Combined stressors (canker, leaf miner, decline) indicate high risk - remove within 8 weeks before winter	Bleeding canker is treatable - injection treatments plus improved cultural care can reverse decline	0	Canker progression from 30% to 60% in 18 months (doubling in 1.5 years) indicates rapid girdling trajectory. At this rate, 100% girdling likely within 12-18 months. Combined with crown decline and leaf miner stress, tree in terminal decline phase	Horse chestnut bleeding canker has no cure. Rapid progression rate means tree approaching critical girdling (80-100% = certain death). Multiple stressors compound decline. School setting requires proactive removal before tree becomes hazardous dead standing stem	BLEEDING CANKER ASSESSMENT:<br>Pathogen: Phytophthora + Pseudomonas bacterial complex<br>Current extent: 60% circumference at 1-3m height<br>Previous extent: 30% (18 months ago)<br>Progression rate: 30% increase in 18 months = 20% per year<br><br>GIRDLING PREDICTION:<br>At 20% per year rate:<br>• Current: 60%<br>• 12 months: 80% (critical threshold)<br>• 18-24 months: 100% (complete girdling, certain death)<br><br>Critical girdling (80%+) means vascular transport blocked, crown death imminent, tree becomes standing deadwood hazard.<br><br>CROWN DECLINE INDICATORS:<br>• 40% density (severe thinning)<br>• Small leaves (stress response, limited resources)<br>• Premature autumn color (physiological stress)<br>• All indicate vascular dysfunction from canker girdling<br><br>CAMERARIA LEAF MINER:<br>Adds additional stress. Reduces photosynthetic capacity. Tree cannot produce energy to fight canker or maintain vigor. Multiple stressors compound - tree declining from all directions.<br><br>SCHOOL SETTING CONSIDERATIONS:<br>Not immediate emergency (not playground, moderate use) BUT school liability considerations require proactive management. Don't wait for complete girdling and standing dead hazard. Remove during school holiday minimizes disruption.<br><br>TREATMENT PROSPECTS:<br>No cure for bleeding canker. Phosphite injections may slow progression slightly but will not reverse 60% girdling. Cultural improvements (water, nutrients) cannot overcome systemic infection. Removal is only realistic option.		Integrates: Horse chestnut bleeding canker (L1-Q166), girdling assessment (L1-Q164), leaf miner (L1-Q101), combined stressors (L1-Q74), school setting risk
7	YES	Fungi	SCENARIO: Veteran oak, 28m height, DBH 140cm, estimated 350+ years old, located in historic parkland. Multiple fungi present: Fistulina hepatica at base, Inonotus dryadeus at root collar, Laetiporus sulphureus at 6m height causing visible delamination on scaffold branch. Tomography mapping shows 35% sound wood remaining, distributed asymmetrically with thicker shell on north/east, thinner on south/west. Tree 50m from nearest structure, in open parkland grazed by sheep. Notable veteran status with rare saproxylic beetles recorded (violet click beetle, noble chafer). Local conservation group campaigns for retention. How should ecological value be balanced against structural risk?	Ecological value irrelevant when structural capacity inadequate - remove immediately	Retain tree accepting high risk due to irreplaceable veteran status and distant targets - annual monitoring only	Install exclusion fencing at 30m radius to eliminate livestock targets, retain tree for ecology, monitor bi-annually	Reduce crown by 40% to decrease loading, fence at 20m radius, intensive quarterly monitoring	2	35% sound wood with asymmetric distribution creates structural concern, but 50m from structures significantly reduces consequence. Veteran oak with rare protected species has high conservation value. Fencing eliminates livestock targets, allowing acceptance of higher structural risk	Veteran trees with rare saproxylic species are irreplaceable in human timescales (350+ years). Risk assessment must weigh rare ecology against actual consequences. Distant targets allow tolerance of marginal structure. Fencing provides practical risk reduction	FUNGAL DECAY ASSESSMENT:<br>FISTULINA HEPATICA (beefsteak fungus):<br>• Base location, brown rot, relatively slow progression<br>• Causes internal decay but less aggressive than some fungi<br><br>INONOTUS DRYADEUS:<br>• Root collar location, amber droplets diagnostic<br>• White rot of roots, windthrow risk primary concern<br>• Serious anchorage implications<br><br>LAETIPORUS SULPHUREUS:<br>• 6m height on scaffold branch, brown rot with delamination<br>• Branch failure risk but not whole-tree windthrow<br><br>STRUCTURAL ANALYSIS:<br>35% sound wood remaining means 65% affected by decay. This is extensive. However, distribution matters: thicker shell on north/east may be on compression side if prevailing wind from south/west, providing more resistance where needed.<br><br>RISK ASSESSMENT:<br>LIKELIHOOD: Moderate to high (extensive decay, multiple fungi, root and stem affected)<br>CONSEQUENCE without mitigation: Moderate (sheep grazing = livestock injury possible, property 50m away unlikely to be impacted even if tree fails)<br>CONSEQUENCE with fencing: Low (30m exclusion removes livestock from impact zone, property still safe at 50m)<br><br>VETERAN TREE VALUE:<br>• 350+ years old = irreplaceable, cannot be recreated in human lifespan<br>• Rare protected species present (violet click beetle, noble chafer) = national conservation importance<br>• Deadwood and decay features took centuries to develop<br>• Loss would be permanent ecological damage<br><br>MANAGEMENT RATIONALE:<br>Fencing at 30m creates safety buffer, removes livestock targets. Tree retained for rare species. Bi-annual monitoring detects any rapid deterioration (lean changes, crack development). Crown reduction avoided - would remove habitat and stress ancient tree further. Balance tilts toward retention given conservation importance and mitigated risk.		Integrates: Multiple fungi (L1-Q160), veteran tree ecology (L1-Q70,Q94), risk tolerance (L1-Q64), Inonotus dryadeus (L1-Q138), Fistulina (L1-Q156), Laetiporus (L1-Q17)
8	YES	Fungi	SCENARIO: Lime avenue tree, 16m height, DBH 55cm, urban street setting. Extensive Kretzschmaria deusta black stromata covering 270° of stem circumference on lower 1.5m. Resistograph indicates brittle decay extending 25cm into stem. Crown appears healthy with 75% density. Tree is one of 40 in formal avenue planted 1880, high amenity and historic value. Adjacent to busy A-road with constant traffic, outdoor café seating beneath crown during summer months. Footfall 500+ pedestrians daily. What assessment protocol is required to determine retention viability?	Visual assessment confirms Kretzschmaria - no additional testing needed, remove based on fungus identification alone	Tomography at multiple heights to map full decay extent, plus detailed loading calculations for risk quantification	Pulling test to assess stability plus crown reduction to decrease loading, allowing retention with mitigation	Monitor quarterly for crack development - if no cracks appear within 6 months, tree can be retained long-term	1	Kretzschmaria causes ceramic-like brittle decay with sudden failure. In high-consequence setting (constant traffic, pedestrians, café), detailed quantification needed to determine if any shell remains adequate. Tomography maps extent at multiple heights, calculations determine if retention possible	High-value setting (avenue historic value, amenity) justifies detailed assessment before removal decision, but extreme consequences (hundreds daily exposure) require rigorous structural proof if considering retention. Tomography provides evidence-based decision making	KRETZSCHMARIA DEUSTA CHARACTERISTICS:<br>• Causes soft rot with unique BRITTLE ceramic fracture<br>• Extensive internal decay with minimal external symptoms<br>• 270° of circumference with stromata = extensive colonization<br>• Sudden catastrophic failure without warning<br>• One of most dangerous decay fungi<br><br>ASSESSMENT PROTOCOL:<br><br>STEP 1 - TOMOGRAPHY (Essential):<br>• Test at 0.5m, 1m, 1.5m, 2m heights<br>• Map decay extent at each level<br>• Identify if ANY cross-section has adequate sound shell<br>• Calculate t/R ratios at worst locations<br>• Resistograph shows 25cm penetration but doesn't show circumferential extent - need 360° view<br><br>STEP 2 - LOADING CALCULATIONS:<br>• Crown weight estimation<br>• Wind loading for urban exposure<br>• Bending moment at base (worst decay location)<br>• Calculate if remaining sound wood can resist loads<br>• Factor of safety calculation<br><br>STEP 3 - CONSEQUENCE QUANTIFICATION:<br>• 500+ pedestrians daily = extreme occupancy<br>• Café seating = prolonged stationary exposure<br>• Constant traffic = vehicle impacts<br>• Time-of-day patterns (café open 8am-8pm)<br><br>RETENTION DECISION CRITERIA:<br>IF tomography shows ≥30% sound shell at all heights AND calculations show adequate factor of safety (≥2.0) AND avenue value is extreme: POSSIBLY retain with intensive monitoring<br><br>IF any cross-section shows <30% sound shell OR calculations marginal: REMOVE - consequences too high for any uncertainty with Kretzschmaria brittleness<br><br>AVENUE CONSIDERATIONS:<br>40 trees, historic planting 1880 = 145 years old, significant heritage. However, one tree failure into café or traffic = catastrophic. Cannot risk lives for heritage unless structural evidence proves adequate safety margin.		Integrates: Kretzschmaria deusta (L1-Q6,Q153), tomography use (L1-Q27,Q42), consequence assessment (L1-Q39,Q44), avenue management, brittleness risk (L1-Q13)
9	YES	Fungi	SCENARIO: Beech, 24m height, DBH 88cm, parkland setting. Meripilus giganteus rosette (1.2m diameter total) at base with characteristic brown bruising when touched. Root plate inspection via air-spade excavation reveals extensive white rot in 3 of 4 major structural roots (north, east, south sectors affected). West sector roots appear sound with firm wood. Soil cracks (3mm width) radiate 2m from base on north side only. Tree overhangs occupied residential building 8m away. Last Meripilus fruiting body noted 3 years ago (smaller, 40cm). What stability assessment methods should be employed before determining action?	Visual observation of soil cracks confirms instability - no further testing needed, remove within 48 hours	Pulling test to quantify root plate movement, plus tomography of root collar to map decay extent	Excavate all four root sectors to full depth, assess each individually, calculate remaining anchorage capacity	Install inclinometers for 6 months to measure progressive lean before deciding on removal	1	Soil cracks indicate movement occurring, but extent unclear. Pulling test quantifies how much root plate tilts under known load, revealing if failure imminent or moderate. Tomography maps root collar decay extent. Both provide evidence for retention vs removal decision	Root decay requires direct stability testing, not just visual assessment. Pulling test is gold standard for anchorage evaluation. Tomography shows if root collar (critical junction) has adequate sound tissue. Combined evidence determines if removal urgent or if monitoring possible	MERIPILUS ASSESSMENT:<br>• Meripilus giganteus = white rot fungus specific to roots and root plate<br>• Rosette form with brown bruising diagnostic<br>• Fruiting body size increase (40cm→120cm over 3 years) suggests decay progression<br>• Affects structural roots, creates windthrow risk<br><br>ROOT DECAY DISTRIBUTION:<br>3 of 4 major roots affected (75%) = severe anchorage loss. However, asymmetric pattern matters:<br>• North, East, South affected = 270° of root plate compromised<br>• West sound = 90° of root plate intact<br>• Soil cracks on north only (not all around) suggests localized movement, not complete rotation yet<br><br>PULLING TEST PROTOCOL:<br>PURPOSE: Quantify root plate stability under controlled load<br><br>METHOD:<br>• Attach winch to trunk at 2/3 height<br>• Install inclinometers at base (measure tilt angle)<br>• Apply incremental loads (2kN, 4kN, 6kN, 8kN, 10kN)<br>• Measure tilt angle at each load level<br>• Plot load vs. tilt curve<br><br>INTERPRETATION:<br>• Linear response (proportional) = stable, elastic behavior<br>• Non-linear response (accelerating tilt) = yield point reached, roots failing<br>• Tilt >0.25° at typical loads = concerning<br>• Permanent set after unloading = damage occurred<br><br>TOMOGRAPHY OF ROOT COLLAR:<br>• Test at ground level (0m) and 0.5m height<br>• Map decay extent circumferentially<br>• Determine if stem-root junction has adequate sound wood<br>• Critical transition zone - failure often occurs here<br><br>DECISION MATRIX:<br>IF pulling test shows >0.35° tilt at 8kN AND tomography shows >60% decay at root collar: REMOVE URGENTLY (within 2 weeks)<br><br>IF pulling test shows <0.25° tilt at 10kN AND tomography shows <50% decay: MONITOR CLOSELY (quarterly inspections, repeat pulling test annually)<br><br>IF intermediate results: REMOVE within 8 weeks as a precautionary measure given occupied building 8m away (high consequence target)		Integrates: Meripilus identification (L1-Q11), pulling test methodology (L1-Q28,Q41), root plate assessment (L1-Q62), windthrow risk (L1-Q169), tomography (L1-Q27,Q42)
10	YES	Fungi	SCENARIO: Sycamore, 19m height, DBH 65cm, located in park. Ganoderma australe bracket (hoof-shaped, zonate brown surface, 18cm diameter) at root collar on south side. Tomography at bracket height shows 180° of cross-section (south semicircle) with moderate decay (orange/yellow on tomogram), remaining 180° (north semicircle) sound wood (blue/green on tomogram). Heavy brown spore deposit visible on ground below bracket. Tree 25m from playground, 30m from main footpath. Crown 70% density with some minor dieback in upper crown. Does bracket location and decay distribution affect failure mode prediction?	Asymmetric decay creates torsional loading - tree will twist and fail in spiral pattern	South-side decay means tree most likely to fail southward during south wind loading (decay on compression side)	South-side decay means tree most likely to fail northward during south wind loading (decay on tension side under bending)	Decay distribution irrelevant - root rot causes windthrow in unpredictable direction regardless of decay location	2	Under south wind loading, north side goes into tension (stretching), south side into compression. Decay on south (compression side) may be tolerated better than if on tension side. However, tension side failures more common when shell weakened. Tree may fail northward if south wind overpowers compromised compression zone	Decay location relative to prevailing wind direction affects failure prediction. Bending mechanics put tension on windward side, compression on leeward. Failure typically initiates on tension side (crack propagation), but decay on compression side can cause crushing collapse. Both scenarios possible	GANODERMA AUSTRALE IDENTIFICATION:<br>• Hoof-shaped, zonate brown surface = G. australe characteristic<br>• Root collar location = root and butt rot<br>• Brown spore deposit confirms Ganoderma genus<br>• White rot of roots and lower stem<br><br>DECAY DISTRIBUTION ANALYSIS:<br>Tomography shows:<br>• South 180° = moderate decay (not severe, but compromised)<br>• North 180° = sound wood<br>• Asymmetric pattern with clear decay on one side only<br><br>BENDING MECHANICS:<br>When wind loads from SOUTH:<br>• South side = COMPRESSION (being squeezed)<br>• North side = TENSION (being stretched)<br>• Maximum stress at outer fibers on both sides<br><br>FAILURE MODE SCENARIOS:<br><br>SCENARIO A (More likely): South wind → North side in tension → If north side sound but south side weak, may fail as compression zone collapses → Tree falls NORTHWARD<br><br>SCENARIO B: South wind → North side in tension → North side sound, resists tension → South compression zone with decay crushes → Tree fails NORTHWARD<br><br>SCENARIO C: North wind → South side in tension → South side weakened by decay → Crack initiates on south tension side → Tree fails SOUTHWARD (toward playground at 25m)<br><br>PREVAILING WIND CONSIDERATION:<br>UK prevailing wind typically SW. If this site has SW prevailing wind, most loading events push tree NE (away from playground). However, occasional north winds would push tree toward playground (south).<br><br>RISK ASSESSMENT:<br>Most likely failure direction: Northward (away from playground). But cannot exclude southward failure during north wind. 25m distance to playground = margin of safety if tree 19m tall, but large crown could extend fall radius.<br><br>MANAGEMENT IMPLICATIONS:<br>Decay distribution suggests slightly lower risk to playground than if decay were on north side. However, this is marginal consideration. Primary factors remain: extent of decay (50% of cross-section), root collar location (windthrow risk), and proximity to targets.		Integrates: Ganoderma australe (L1-Q171), tomography interpretation (L1-Q27,Q42), bending mechanics (L1-Q48), failure mode prediction
